File,0,1,2,3,4,Mean,Std
PSG29.edf,0.5486111111111112,0.4722222222222222,0.4444444444444444,0.32167832167832167,0.5174825174825175,0.4608877233877234,0.07832812174797156
PSG12.edf,0.4117647058823529,0.39215686274509803,0.6143790849673203,0.39869281045751637,0.47368421052631576,0.45813553491572073,0.08329547971363697
PSG17.edf,0.3496932515337423,0.5617283950617284,0.5370370370370371,0.5061728395061729,0.20987654320987653,0.4329016132697115,0.13377070839482114
PSG10.edf,0.6578947368421053,0.8013245033112583,0.6291390728476821,0.3443708609271523,0.5761589403973509,0.6017776228651097,0.14874897976444312
PSG23.edf,0.8734177215189873,0.8152866242038217,0.821656050955414,0.8789808917197452,0.6050955414012739,0.7988873659598485,0.10031188037470345
PSG25.edf,0.31788079470198677,0.5298013245033113,0.5960264900662252,0.3708609271523179,0.4900662251655629,0.46092715231788084,0.10239018855675598
PSG35.edf,0.6529411764705882,0.514792899408284,0.5384615384615384,0.6153846153846154,0.6272189349112426,0.5897598329272538,0.053485048575660304
PSG11.edf,0.6223776223776224,0.8251748251748252,0.7692307692307693,0.5174825174825175,0.21678321678321677,0.5902097902097901,0.21588353802529128
PSG30.edf,0.5906432748538012,0.6842105263157895,0.7134502923976608,0.7176470588235294,0.611764705882353,0.6635431716546268,0.05261272722001199
PSG16.edf,0.8802395209580839,0.8383233532934131,0.9457831325301205,0.9096385542168675,0.8192771084337349,0.8786523338864438,0.04608915970797658
PSG21.edf,0.5271317829457365,0.4806201550387597,0.5116279069767442,0.35658914728682173,0.4883720930232558,0.4728682170542635,0.060445236246877296
PSG9.edf,0.4226190476190476,0.41916167664670656,0.3532934131736527,0.19161676646706588,0.2155688622754491,0.32045195323638437,0.09885267247834478
PSG1.edf,0.632768361581921,0.768361581920904,0.6420454545454546,0.6136363636363636,0.6306818181818182,0.6574987159732923,0.056185444241164936
PSG13.edf,0.6645962732919255,0.7142857142857143,0.7391304347826086,0.6459627329192547,0.577639751552795,0.6683229813664596,0.05632687726089258
PSG3.edf,0.5614035087719298,0.7368421052631579,0.8304093567251462,0.8411764705882353,0.6882352941176471,0.7316133470932232,0.10261102670033731
PSG6.edf,0.5705521472392638,0.50920245398773,0.48466257668711654,0.4382716049382716,0.29012345679012347,0.4585624479285011,0.09441475703678817
PSG20.edf,0.8685714285714285,0.7885714285714286,0.8285714285714286,0.8228571428571428,0.8,0.8217142857142857,0.027618390796787576
PSG24.edf,0.774869109947644,0.8691099476439791,0.8534031413612565,0.6947368421052632,0.8263157894736842,0.8036869661063653,0.06318943993370349
PSG31.edf,0.4268292682926829,0.5060975609756098,0.4695121951219512,0.4146341463414634,0.4146341463414634,0.4463414634146341,0.036053037802669476
PSG32.edf,0.8827160493827161,0.9320987654320988,0.7592592592592593,0.8509316770186336,0.7267080745341615,0.830342765125374,0.07656913437596803
PSG18.edf,0.5555555555555556,0.6052631578947368,0.6052631578947368,0.47368421052631576,0.35526315789473684,0.5190058479532164,0.09495498673493065
PSG15.edf,0.8861788617886179,0.9180327868852459,0.9098360655737705,0.9016393442622951,0.8360655737704918,0.8903505264560841,0.02911250610583509
PSG26.edf,0.49390243902439024,0.2682926829268293,0.22560975609756098,0.49079754601226994,0.4601226993865031,0.3877450246895107,0.11634814466742545
PSG34.edf,0.631578947368421,0.4470588235294118,0.6882352941176471,0.6470588235294118,0.49411764705882355,0.581609907120743,0.09371054205469787
PSG2.edf,0.5416666666666666,0.6845238095238095,0.7440476190476191,0.5357142857142857,0.47023809523809523,0.5952380952380952,0.10213147899774866
PSG19.edf,0.68,0.6133333333333333,0.7333333333333333,0.8733333333333333,0.68,0.7160000000000001,0.087391837910261
PSG5.edf,0.3918918918918919,0.5405405405405406,0.4391891891891892,0.48299319727891155,0.3741496598639456,0.44575289575289584,0.06073327100144609
PSG7.edf,0.5131578947368421,0.5921052631578947,0.5986842105263158,0.35526315789473684,0.19736842105263158,0.45131578947368417,0.15432365169890264
